company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
195,Avadh Sugar & Energy Limited,AVADHSUGAR,NSE,EQ,SUCCESS,2025-12-02T20:37:53.118986+00:00
196,Avalon Technologies Limited,AVALON,NSE,EQ,SUCCESS,2025-12-02T20:37:54.674594+00:00
197,Avantel Limited,AVANTEL,NSE,EQ,SUCCESS,2025-12-02T20:37:55.504978+00:00
198,Avanti Feeds Limited,AVANTIFEED,NSE,EQ,SUCCESS,2025-12-02T20:37:56.488120+00:00
199,AVG Logistics Limited,AVG,NSE,EQ,SUCCESS,2025-12-02T20:37:57.223852+00:00
200,Aditya Vision Limited,AVL,NSE,EQ,SUCCESS,2025-12-02T20:37:58.098221+00:00
201,Avonmore Capital & Management Services Limited,AVONMORE,NSE,EQ,SUCCESS,2025-12-02T20:38:48.748587+00:00
202,AVRO INDIA LIMITED,AVROIND,NSE,EQ,SUCCESS,2025-12-02T20:38:49.510270+00:00
203,AVT Natural Products Limited,AVTNPL,NSE,EQ,SUCCESS,2025-12-02T20:38:50.368652+00:00
204,Awfis Space Solutions Limited,AWFIS,NSE,EQ,SUCCESS,2025-12-02T20:38:51.470866+00:00
205,Antony Waste Handling Cell Limited,AWHCL,NSE,EQ,SUCCESS,2025-12-02T20:38:52.434151+00:00
206,Adani Wilmar Limited,AWL,NSE,EQ,SUCCESS,2025-12-02T20:38:53.273889+00:00
207,Axis Bank Limited,AXISBANK,NSE,EQ,SUCCESS,2025-12-02T20:38:54.009351+00:00
208,AXISCADES Technologies Limited,AXISCADES,NSE,EQ,SUCCESS,2025-12-02T20:38:54.775030+00:00
209,Axita Cotton Limited,AXITA,NSE,EQ,SUCCESS,2025-12-02T20:38:55.448828+00:00
210,AYM Syntex Limited,AYMSYNTEX,NSE,EQ,SUCCESS,2025-12-02T20:38:56.300654+00:00
211,Azad Engineering Limited,AZAD,NSE,EQ,SUCCESS,2025-12-02T20:39:48.635804+00:00
212,Bafna Pharmaceuticals Limited,BAFNAPH,NSE,EQ,SUCCESS,2025-12-02T20:39:49.502396+00:00
213,B.A.G Films and Media Limited,BAGFILMS,NSE,EQ,SUCCESS,2025-12-02T20:39:50.353845+00:00
214,Baid Finserv Limited,BAIDFIN,NSE,EQ,SUCCESS,2025-12-02T20:39:51.388134+00:00
215,Bajaj Auto Limited,BAJAJ-AUTO,NSE,EQ,SUCCESS,2025-12-02T20:39:52.197907+00:00
216,Bajaj Consumer Care Limited,BAJAJCON,NSE,EQ,SUCCESS,2025-12-02T20:39:53.129062+00:00
217,Bajaj Electricals Limited,BAJAJELEC,NSE,EQ,SUCCESS,2025-12-02T20:39:54.029339+00:00
218,Bajaj Finserv Limited,BAJAJFINSV,NSE,EQ,SUCCESS,2025-12-02T20:39:54.885830+00:00
219,Bajaj Healthcare Limited,BAJAJHCARE,NSE,EQ,SUCCESS,2025-12-02T20:39:55.674287+00:00
220,Bajaj Housing Finance Limited,BAJAJHFL,NSE,EQ,SUCCESS,2025-12-02T20:39:56.447929+00:00
221,Bajaj Hindusthan Sugar Limited,BAJAJHIND,NSE,EQ,SUCCESS,2025-12-02T20:40:48.674851+00:00
222,Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE,EQ,SUCCESS,2025-12-02T20:40:49.478508+00:00
223,Indef Manufacturing Limited,BAJAJINDEF,NSE,EQ,SUCCESS,2025-12-02T20:40:50.547710+00:00
224,Bajel Projects Limited,BAJEL,NSE,EQ,SUCCESS,2025-12-02T20:40:51.339346+00:00
225,Bajaj Finance Limited,BAJFINANCE,NSE,EQ,SUCCESS,2025-12-02T20:40:52.159745+00:00
226,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,NSE,EQ,SUCCESS,2025-12-02T20:40:53.007466+00:00
227,Balaji Telefilms Limited,BALAJITELE,NSE,EQ,SUCCESS,2025-12-02T20:40:53.878236+00:00
228,Balaji Amines Limited,BALAMINES,NSE,EQ,SUCCESS,2025-12-02T20:40:54.743269+00:00
229,BALAXI PHARMACEUTICALS LIMITED,BALAXI,NSE,EQ,SUCCESS,2025-12-02T20:40:55.669073+00:00
230,Balkrishna Paper Mills Limited,BALKRISHNA,NSE,EQ,SUCCESS,2025-12-02T20:40:56.523967+00:00
231,Balkrishna Industries Limited,BALKRISIND,NSE,EQ,SUCCESS,2025-12-02T20:41:49.483355+00:00
232,Balmer Lawrie & Company Limited,BALMLAWRIE,NSE,EQ,SUCCESS,2025-12-02T20:41:50.479463+00:00
233,Bal Pharma Limited,BALPHARMA,NSE,EQ,SUCCESS,2025-12-02T20:41:51.924939+00:00
234,Balrampur Chini Mills Limited,BALRAMCHIN,NSE,EQ,SUCCESS,2025-12-02T20:41:53.453519+00:00
235,Balu Forge Industries Limited,BALUFORGE,NSE,EQ,SUCCESS,2025-12-02T20:41:54.680005+00:00
236,Banaras Beads Limited,BANARBEADS,NSE,EQ,SUCCESS,2025-12-02T20:41:55.318682+00:00
237,Bannari Amman Sugars Limited,BANARISUG,NSE,EQ,SUCCESS,2025-12-02T20:41:56.125719+00:00
238,Banco Products (I) Limited,BANCOINDIA,NSE,EQ,SUCCESS,2025-12-02T20:41:56.884199+00:00
239,Bandhan Bank Limited,BANDHANBNK,NSE,EQ,SUCCESS,2025-12-02T20:41:57.518517+00:00
240,Bang Overseas Limited,BANG,NSE,EQ,SUCCESS,2025-12-02T20:41:58.154881+00:00
